epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2488.85,0.88075,0.50744,0.90091,0.9301,0.7897,0.87763,0.652,0.8334,0.49429,0.89517,0.0009506,0.0009506,0.0009506
55,2532.72,0.87177,0.49797,0.89991,0.95085,0.75719,0.87792,0.64858,0.88936,0.49664,0.9045,0.0009308,0.0009308,0.0009308
56,2576.76,0.8923,0.50709,0.89688,0.94806,0.76978,0.8687,0.64666,0.83317,0.48682,0.89215,0.000911,0.000911,0.000911
57,2621.17,0.85968,0.49271,0.8906,0.9412,0.78417,0.87916,0.65762,0.82431,0.49051,0.88883,0.0008912,0.0008912,0.0008912
58,2665.45,0.85303,0.49374,0.88898,0.96413,0.77346,0.87747,0.66239,0.81265,0.48935,0.88545,0.0008714,0.0008714,0.0008714
59,2709.42,0.84034,0.48653,0.88649,0.96515,0.77518,0.8776,0.65928,0.81205,0.48475,0.8885,0.0008516,0.0008516,0.0008516
60,2753.63,0.86629,0.50069,0.89284,0.95613,0.77338,0.86831,0.64849,0.83444,0.48719,0.89403,0.0008318,0.0008318,0.0008318
61,2797.24,0.85267,0.48885,0.88817,0.93732,0.77999,0.8727,0.6568,0.8185,0.47759,0.88452,0.000812,0.000812,0.000812
62,2841.44,0.83834,0.48853,0.88656,0.95451,0.76439,0.8772,0.65079,0.85313,0.48808,0.88894,0.0007922,0.0007922,0.0007922
63,2885.29,0.84879,0.48936,0.88216,0.95363,0.77676,0.88319,0.66183,0.80571,0.46967,0.88133,0.0007724,0.0007724,0.0007724
64,2929.65,0.83299,0.47314,0.88112,0.94497,0.77518,0.87277,0.65193,0.84105,0.4846,0.89633,0.0007526,0.0007526,0.0007526
65,2973.63,0.86138,0.49004,0.89053,0.95265,0.77158,0.87202,0.65224,0.81025,0.47177,0.89091,0.0007328,0.0007328,0.0007328
66,3017.35,0.82727,0.48,0.88159,0.95014,0.78825,0.87851,0.65949,0.82522,0.47792,0.89385,0.000713,0.000713,0.000713
67,3061.26,0.82938,0.46863,0.88201,0.92714,0.79137,0.8798,0.66581,0.82285,0.46367,0.88841,0.0006932,0.0006932,0.0006932
68,3105.48,0.84493,0.47992,0.88332,0.95184,0.7821,0.87452,0.65487,0.82124,0.47573,0.88429,0.0006734,0.0006734,0.0006734
69,3149.29,0.83129,0.48273,0.88432,0.96028,0.79137,0.88029,0.65876,0.81064,0.46661,0.88761,0.0006536,0.0006536,0.0006536
70,3193.42,0.81522,0.462,0.87866,0.94225,0.79227,0.88186,0.6647,0.79474,0.46245,0.88556,0.0006338,0.0006338,0.0006338
71,3237.18,0.83986,0.48031,0.88162,0.95651,0.79118,0.88177,0.66585,0.80835,0.46175,0.88413,0.000614,0.000614,0.000614
72,3281.3,0.80654,0.45812,0.87776,0.95283,0.78058,0.88027,0.66048,0.8027,0.46587,0.88805,0.0005942,0.0005942,0.0005942
73,3325.44,0.82754,0.46105,0.88315,0.95613,0.78394,0.88035,0.66491,0.8088,0.46425,0.88552,0.0005744,0.0005744,0.0005744
74,3369.34,0.80807,0.45426,0.87476,0.93908,0.77634,0.87507,0.65828,0.80417,0.47355,0.88257,0.0005546,0.0005546,0.0005546
75,3413.36,0.82831,0.46801,0.88056,0.95173,0.79856,0.87787,0.66019,0.80793,0.4635,0.88419,0.0005348,0.0005348,0.0005348
76,3457.3,0.80908,0.46197,0.86996,0.95192,0.78347,0.87995,0.66218,0.81022,0.45912,0.88297,0.000515,0.000515,0.000515
77,3501.4,0.78972,0.44096,0.87277,0.94916,0.77235,0.87545,0.65989,0.80558,0.45352,0.88509,0.0004952,0.0004952,0.0004952
78,3545.56,0.80231,0.4636,0.87793,0.9641,0.78417,0.87436,0.6627,0.80535,0.44829,0.88889,0.0004754,0.0004754,0.0004754
79,3589.85,0.80778,0.46071,0.87572,0.96487,0.76978,0.8736,0.66274,0.79461,0.4482,0.88291,0.0004556,0.0004556,0.0004556
80,3634,0.78651,0.44718,0.87192,0.95447,0.7917,0.88883,0.67209,0.79382,0.45113,0.88057,0.0004358,0.0004358,0.0004358
81,3678.04,0.79472,0.44789,0.87197,0.95816,0.79856,0.884,0.67093,0.7959,0.44812,0.88275,0.000416,0.000416,0.000416
82,3722.01,0.78699,0.44419,0.87168,0.95202,0.79137,0.88235,0.66809,0.80413,0.45248,0.88123,0.0003962,0.0003962,0.0003962
83,3765.83,0.80111,0.44982,0.87371,0.95174,0.79137,0.88059,0.66771,0.79678,0.44581,0.8795,0.0003764,0.0003764,0.0003764
84,3810.34,0.76927,0.42937,0.86934,0.95427,0.78816,0.88388,0.67007,0.80019,0.44457,0.88135,0.0003566,0.0003566,0.0003566
85,3854.19,0.76388,0.4336,0.86342,0.95252,0.79378,0.88172,0.67048,0.79893,0.44337,0.88072,0.0003368,0.0003368,0.0003368
86,3898.3,0.76572,0.43227,0.86541,0.94784,0.79676,0.88331,0.66565,0.79974,0.44195,0.88112,0.000317,0.000317,0.000317
87,3942.31,0.76325,0.43351,0.86587,0.95597,0.79137,0.88436,0.66786,0.80433,0.43941,0.87929,0.0002972,0.0002972,0.0002972
88,3986.03,0.76803,0.43022,0.86657,0.96233,0.78099,0.88218,0.66179,0.79746,0.43974,0.88143,0.0002774,0.0002774,0.0002774
89,4030.4,0.7492,0.42179,0.86591,0.95413,0.78557,0.88204,0.67052,0.79509,0.43252,0.88103,0.0002576,0.0002576,0.0002576
90,4074.61,0.76297,0.43284,0.86814,0.95374,0.78597,0.88609,0.67109,0.78514,0.43187,0.88238,0.0002378,0.0002378,0.0002378
91,4137.68,0.73963,0.42028,0.85779,0.94837,0.79285,0.88404,0.66165,0.82103,0.45658,0.88208,0.000218,0.000218,0.000218
92,4180.63,0.72419,0.40788,0.85799,0.95211,0.78668,0.88007,0.6632,0.79466,0.44756,0.87903,0.0001982,0.0001982,0.0001982
93,4223.38,0.71872,0.40291,0.85431,0.9465,0.78417,0.87819,0.66253,0.79715,0.43921,0.87952,0.0001784,0.0001784,0.0001784
94,4266.66,0.71255,0.39817,0.85611,0.95815,0.78239,0.8819,0.66576,0.80001,0.43535,0.88066,0.0001586,0.0001586,0.0001586
95,4309.95,0.71067,0.40356,0.86018,0.94984,0.78338,0.88207,0.66935,0.80062,0.43532,0.87986,0.0001388,0.0001388,0.0001388
96,4353.6,0.70193,0.38969,0.85465,0.96027,0.78254,0.87946,0.66424,0.80412,0.4336,0.88182,0.000119,0.000119,0.000119
97,4397.13,0.69748,0.39233,0.85115,0.95941,0.78058,0.88152,0.66817,0.79851,0.43388,0.87822,9.92e-05,9.92e-05,9.92e-05
98,4440.44,0.69592,0.38946,0.84917,0.95615,0.78426,0.87923,0.66565,0.80123,0.43338,0.87653,7.94e-05,7.94e-05,7.94e-05
99,4483.9,0.68845,0.38244,0.84696,0.94784,0.78437,0.88263,0.6697,0.79532,0.43388,0.87786,5.96e-05,5.96e-05,5.96e-05
100,4527.82,0.68166,0.38236,0.84331,0.95518,0.78777,0.88286,0.67347,0.79291,0.43157,0.8765,3.98e-05,3.98e-05,3.98e-05
